,Date,Open,High,Low,Close,Volume,Slope,Slope20,Z_Score,Z_Score2,Z_Score3,#10%Opps,#5%Opps,Ranking,Ticker
26,2025-03-14,13.880000114440918,14.119999885559082,13.68000030517578,13.829999923706056,42314.0,-0.0883352757256728,0.0287067542398782,-0.7480939053078652,-0.9533356603247216,-1.019584037734183,26,49,2.1803646498712403,PPTA.TO
5,2025-03-14,2.369999885559082,2.450000047683716,2.369999885559082,2.4200000762939453,86488.0,0.0019315176827134,0.0074210589989683,-0.0218018403155748,-0.104834398909259,0.0009617793509007,17,15,1.0997169255538848,GRA.TO
69,2025-03-14,8.229999542236328,8.5,8.229999542236328,8.399999618530273,91132.0,-0.0348858397578134,0.0022468810690973,-1.0048790283372226,-1.2031612913751657,-0.9537603102887664,0,13,1.0664264852573255,CF.TO
81,2025-03-14,10.989999771118164,10.989999771118164,10.640000343322754,10.720000267028809,32860.0,-0.0296694867513849,0.0002030114482219,-0.5926879924240717,-0.4117873560063254,-0.8326932764787726,1,41,1.0042548277228556,MUX.TO
68,2025-03-14,5.610000133514404,5.800000190734863,5.610000133514404,5.679999828338623,38557.0,-0.0212665260310906,-0.020278205011124,-1.3880282717669956,-1.4214437189937676,-1.257692611105316,0,19,0.0,REAL.TO
78,2025-03-14,20.299999237060547,20.799999237060547,20.299999237060547,20.76000022888184,29753.0,-0.0170121574704449,0.0788195387761395,0.4933993039334559,0.3220999676173713,0.4270485531285536,0,11,0.0,CHR.TO
77,2025-03-14,5.309999942779541,5.349999904632568,5.239999771118164,5.300000190734863,179953.0,-0.0269296673855915,-0.1182255572842476,-2.31889869070744,-2.3749755823204635,-1.944583355347422,13,38,0.0,VNP.TO
76,2025-03-14,5.590000152587891,5.630000114440918,5.5,5.514999866485596,127943.0,0.0126493912913192,-0.0121616575054656,0.709282135256137,0.5160384307208303,0.1918897581302723,51,29,0.0,FDR.V
75,2025-03-14,14.399999618530272,14.90999984741211,14.399999618530272,14.8100004196167,10007.0,-0.0673731192150549,-0.3083383509987279,-2.305709311653532,-2.534350881729154,-2.481859165283318,0,7,0.0,VBNK.TO
74,2025-03-14,39.400001525878906,40.19499969482422,39.20000076293945,39.459999084472656,67185.0,0.0717882074671785,-0.0013458969001483,0.7457434789254235,0.5966572616911809,0.5555448916640392,8,12,0.0,BDGI.TO
73,2025-03-14,7.53000020980835,7.820000171661377,7.440000057220459,7.789999961853027,127377.0,-0.0085748277852801,-0.0363834606973748,-0.2398974720141498,-0.6604220924444086,-0.3577080315554962,26,43,0.0,OBE.TO
72,2025-03-14,6.420000076293945,6.460000038146973,6.289999961853027,6.320000171661377,530726.0,0.0126303538388515,0.0231654131322875,3.0917659346818187,2.6175261789692783,1.23535912229025,11,52,0.0,ARIS.TO
71,2025-03-14,36.59000015258789,36.97999954223633,36.59000015258789,36.97999954223633,1473.0,-0.0667279976250191,-0.2536468964770324,-1.6353834922806143,-2.1132758793351507,-2.2914583008264167,0,2,0.0,CGI.TO
70,2025-03-14,15.15999984741211,15.260000228881836,15.0,15.06999969482422,6300.0,-0.0089762018446818,-0.1310752015364797,-1.827707697228186,-1.658627569434416,-1.5322511695648324,0,17,0.0,KEC.TO
67,2025-03-14,2.6600000858306885,2.6600000858306885,2.559999942779541,2.5799999237060547,228634.0,0.0018884196475597,-0.0025037591618702,0.6529737480642791,0.5988582282904923,0.0787373571002126,22,51,0.0,NFG.V
80,2025-03-14,11.5600004196167,11.640000343322754,11.529999732971191,11.5600004196167,37661.0,0.0020418721364957,-0.027639699520025,-1.2228797869350536,-1.195638256928503,-0.6529826162662253,0,0,0.0,FC.TO
66,2025-03-14,23.149999618530277,24.3799991607666,23.149999618530277,24.040000915527344,80839.0,-0.1294830061026441,-0.2156942453599514,-1.5862188750799746,-1.820681425401044,-1.8026596983140604,0,9,0.0,NOA.TO
65,2025-03-14,1.1799999475479126,1.1799999475479126,1.149999976158142,1.159999966621399,16999.0,-0.0096599679911092,-0.0136165412745081,-1.7559554936714132,-1.8363155064691656,-1.7568632456665143,15,19,0.0,URE.TO
64,2025-03-14,1.5399999618530271,1.5399999618530271,1.4950000047683716,1.5099999904632568,55122.0,-0.0004399791525382,-0.0007819557548465,0.2064565435973471,0.1523300182980789,0.3620917830377188,1,27,0.0,WRN.TO
63,2025-03-14,1.950000047683716,1.9600000381469729,1.909999966621399,1.919999957084656,41648.0,1.3748966531738504e-05,-0.0004360917815588,2.082906291946383,1.185066558068319,0.2144254540895485,6,65,0.0,GAU.TO
62,2025-03-14,5.900000095367432,5.989999771118164,5.849999904632568,5.96999979019165,47427.0,0.0086319405713578,0.0147067611378834,2.047343737556017,1.8508652415966604,2.8221736708065714,3,26,0.0,GUD.TO
61,2025-03-14,4.849999904632568,4.954999923706055,4.760000228881836,4.920000076293945,348590.0,0.030628237731869,0.0175563880375453,1.274264312778504,1.042829740474083,0.9833588980579584,50,34,0.0,AAUC.TO
