,Date,Open,High,Low,Close,Volume,Slope,Slope20,Z_Score,Z_Score2,Z_Score3,#10%Opps,#5%Opps,TradeCapital,Ranking,Ticker
14,2025-03-19,22.350000381469727,22.600000381469727,22.100000381469727,22.530000686645508,350559.0,-0.0237229006811148,0.1364361182191318,1.1742869242495524,1.2019103133933666,0.6460130862435616,7,67,9443922.63,0.968684431591082,ELD.TO
85,2025-03-19,62.400001525878906,63.41999816894531,62.130001068115234,63.27000045776367,788741.0,-0.3031925116689793,-0.1200525556291852,-0.9789468764260826,-1.235996317349182,-1.2037144818661083,16,28,78243098.58,0.9196609761529602,CCO.TO
42,2025-03-19,37.79999923706055,37.81999969482422,37.38999938964844,37.7599983215332,592921.0,0.0747286836411321,0.2329470469539327,2.124282622811013,2.060873527780795,1.879550220414811,4,34,34668400.0,0.69632804443836,ALA.TO
45,2025-03-19,7.489999771118164,7.559999942779541,7.409999847412109,7.5,159242.0,0.0052734025756497,-0.0142631527176476,0.2346648588931424,0.1360253704597771,0.2933960712521972,76,81,2753370.0,0.5754544518010443,VLE.TO
93,2025-03-19,67.69000244140625,68.52999877929688,67.36000061035156,67.97000122070312,71095.0,-0.0547419426492885,-0.155315817926163,-0.9405447137164668,-1.1688654845849589,-0.9786335745411954,5,27,10414567.31,0.5681445765765004,SJ.TO
52,2025-03-19,61.40999984741211,61.650001525878906,61.2400016784668,61.63999938964844,5059.0,0.0782454572866229,0.1353609013378172,1.5595137398002792,1.5384799006974654,1.7212570079040574,7,66,1839214.32,0.5676012231863596,CGO.TO
20,2025-03-19,23.6200008392334,23.6200008392334,22.61000061035156,22.65999984741211,310629.0,0.0496816482826366,0.0342481240294033,0.7579409150838563,1.588076062924319,1.4456056120302243,25,101,4111045.18,0.507183910890915,MAG.TO
82,2025-03-19,37.790000915527344,38.18000030517578,37.369998931884766,38.0,487360.0,0.1382666994818047,0.1580783012218045,1.8461957210206776,1.974823638715216,1.841031541508648,31,69,27921754.0,0.4945352327264099,PAAS.TO
26,2025-03-19,25.0,25.07999992370605,24.88999938964844,25.040000915527344,238198.0,0.0941760962378846,0.1225654673755617,1.626564320458385,1.5838299319077112,1.437219761979912,46,31,6161016.88,0.4756949689181117,MFI.TO
61,2025-03-19,13.470000267028809,13.619999885559082,13.369999885559082,13.449999809265137,301494.0,-0.017981752802114,-0.0773333140781947,-0.2415978193328137,-0.2420579621995292,-0.3519901199999494,45,53,8781720.2,0.4668059455340869,PXT.TO
44,2025-03-19,18.46999931335449,19.0,17.700000762939453,18.950000762939453,1931373.0,0.1087895317218847,0.1720301032962655,2.1483965018040125,2.1840441252391742,1.64868756577346,96,107,10453881.2,0.4555653786339178,GMIN.TO
2,2025-03-19,29.770000457763672,29.770000457763672,29.290000915527344,29.729999542236328,253699.0,0.0201575260575898,0.0951877622676075,1.3501720086632365,1.2761372822560808,1.1078098832659258,24,38,10089291.72,0.4514921609061195,BLX.TO
63,2025-03-19,8.569999694824219,8.84000015258789,8.520000457763672,8.75,1532943.0,0.0124214682737902,0.0108421106983844,0.7032965162060711,0.5454718859973681,0.5160032656952254,38,97,15471995.0,0.3680946675268406,IMG.TO
72,2025-03-19,24.25,25.059999465942383,24.200000762939453,24.96999931335449,2658639.0,-0.0108688540082958,0.1034060026469983,1.4662709160675165,1.413705445988667,1.257067244002934,21,53,67267507.00999999,0.3657115172331431,MEG.TO
88,2025-03-19,8.770000457763672,9.010000228881836,8.65999984741211,8.930000305175781,677268.0,0.0060633382993927,-0.0101854489261942,0.5721876780891509,0.345501493503262,-0.1746421414165379,16,55,6773324.63,0.3529548320554621,CG.TO
94,2025-03-19,37.25,37.79999923706055,36.619998931884766,37.459999084472656,300976.0,0.1236467409865179,0.1918119961157777,2.447932464550896,2.460885720772371,1.8133444693564988,42,82,10307268.84,0.3423777113649032,TXG.TO
66,2025-03-19,40.2599983215332,40.77000045776367,39.84999847412109,40.4900016784668,50864.0,0.0728465499353434,0.0487970595969293,1.1455158033573722,1.0143949170174025,0.9553645785079315,15,27,4430415.8,0.3368735750552907,BDGI.TO
74,2025-03-19,5.28000020980835,5.389999866485596,5.230000019073486,5.349999904632568,2933383.0,-0.0098778430650248,0.0250751832374056,0.9215983923314024,0.6361924064377129,0.3831874077735271,41,49,13442142.5,0.3218139291825114,ATH.TO
77,2025-03-19,6.199999809265137,6.340000152587891,6.159999847412109,6.260000228881836,330326.0,0.02433527160233,-0.1198947354366904,-0.3589917706584877,-0.3975881671982332,-0.3896970179902477,64,23,3548969.28,0.3037362140234841,ACB.TO
0,2025-03-19,19.520000457763672,19.71999931335449,19.270000457763672,19.51000022888184,863848.0,0.0230500620171735,0.0803305905564387,1.4518537353323613,1.4469925890148088,1.1881704313520307,17,57,22546965.62,0.2829513628483364,NPI.TO
70,2025-03-19,4.360000133514404,4.400000095367432,4.239999771118164,4.380000114440918,2201513.0,0.001549908485695,0.0164336365864689,0.936078600714008,0.7563987076833601,0.2281565869050876,19,88,8991671.34,0.2824805456267416,OGC.TO
83,2025-03-19,12.970000267028809,13.109999656677246,12.920000076293944,13.050000190734863,150613.0,0.0554980223043957,0.0968568679981662,1.80717695773941,1.7565371089169586,1.8257212601521644,33,74,2423880.9,0.2648676844573915,EXE.TO
36,2025-03-19,6.46999979019165,6.570000171661377,6.46999979019165,6.539999961853027,842794.0,-0.0027900869287806,-0.0084003602651725,0.8322398115418885,0.429179608801646,0.0380838005301644,7,47,4390975.62,0.2507382140274679,CJ.TO
27,2025-03-19,17.329999923706055,17.549999237060547,17.079999923706055,17.479999542236328,3374949.0,0.0510621677057759,0.0774609142676332,1.6349528962962174,1.5208413332525654,1.3595762902316586,29,115,61067708.48,0.184824723954822,K.TO
46,2025-03-19,18.440000534057617,18.56999969482422,18.239999771118164,18.46999931335449,595164.0,0.0972481394747084,0.0849473938906103,1.8085236821826176,1.770527714194487,1.7732616824935117,7,126,10729647.81,0.1723663594625926,DPM.TO
40,2025-03-19,9.84000015258789,10.3100004196167,9.84000015258789,10.270000457763672,596365.0,-0.0014130074406729,-0.0003533736207431,1.1372223570923474,0.4577812156619794,-0.0238799142068136,32,57,5103091.109999999,0.1718519817663994,AAV.TO
78,2025-03-19,50.56999969482422,51.20000076293945,50.52000045776367,51.09999847412109,234921.0,0.1632151431724672,0.0085187094552176,1.1483449072819674,0.9983224422918028,1.0225594047954565,8,51,22259568.8,0.1622928190605629,X.TO
53,2025-03-19,9.949999809265137,10.039999961853027,9.8100004196167,9.960000038146973,1023404.0,0.0429428866652191,0.01580450230075,1.2868456874936736,1.290350148145799,1.2272836927065869,80,55,11468053.56,0.157968092908045,EQX.TO
12,2025-03-19,15.989999771118164,16.270000457763672,15.760000228881836,16.1299991607666,197475.0,0.0475663654644107,0.1034060062322401,2.167458446825829,2.1145358848317457,1.9494077852060805,6,82,6386931.579999999,0.1318474904437477,WDO.TO
54,2025-03-19,3.119999885559082,3.134999990463257,3.069999933242798,3.0999999046325684,4118370.0,0.0177937584412532,0.0067894706152435,1.3969093710003129,1.4722429546187903,1.4112947244285343,71,103,8642446.6,0.1190063336039327,CXB.TO
1,2025-03-19,5.889999866485596,6.304999828338623,5.889999866485596,6.269999980926514,2846007.0,0.0032352152228796,0.0043085062414183,1.5004323365481245,0.8994832666753745,0.6193991466895432,51,65,8272286.88,0.0974376326694322,BIR.TO
73,2025-03-19,16.75,17.190000534057617,16.700000762939453,17.1299991607666,511575.0,0.0091984365555043,-0.0455802243455012,1.0055511341589107,0.7205918959971291,0.5986460922504239,23,93,16815733.02,0.0954638757012135,POU.TO
6,2025-03-19,8.489999771118164,8.630000114440918,8.350000381469727,8.579999923706055,960120.0,0.0220269673214836,0.122022547399191,2.6833203598500828,2.5451575635800787,2.162805347318125,96,54,7158233.94,0.0935391854580851,FVI.TO
13,2025-03-19,52.310001373291016,52.790000915527344,52.310001373291016,52.33000183105469,3464144.0,0.145285523372753,-0.0146741336449644,1.188546274922065,1.138241089594826,1.1243741400491734,23,23,159581486.26,0.0828830631151167,GWO.TO
7,2025-03-19,65.38999938964844,67.20999908447266,65.0,66.97000122070312,5275380.0,0.0025284951228681,-0.1345063173681273,0.217122348876933,0.0966273693107025,-0.3108969013163415,7,33,146752901.31,0.0806760106584808,TOU.TO
4,2025-03-19,9.68000030517578,9.75,9.579999923706056,9.739999771118164,283137.0,0.027972906345668,0.0460676558931967,2.054515695459183,2.05572944957367,1.8472084436502316,9,85,4080300.28,0.0805493968005372,SSL.TO
48,2025-03-19,53.77999877929688,54.41999816894531,53.04999923706055,53.68999862670898,4371872.0,0.0070981942050233,-0.1589631044775023,-0.0602341102635943,-0.0170073408500641,-0.0870389310658856,8,52,472475811.99,0.0802684266648033,SU.TO
76,2025-03-19,16.84000015258789,17.315000534057617,16.829999923706055,17.260000228881836,1318825.0,-0.0081186889656506,0.0239944701804254,1.7443305171532428,1.230327444824281,0.945282608021357,13,54,14777735.840000002,0.0792023469101432,PEY.TO
55,2025-03-19,5.980000019073486,6.0,5.815000057220459,5.949999809265137,552892.0,0.0269545194019658,0.0467518759849376,2.143690818274252,2.3175642057601262,2.208236231653327,40,111,2959530.0,0.0787850397117132,SVM.TO
81,2025-03-19,36.27999877929688,36.91999816894531,36.13999938964844,36.900001525878906,314768.0,0.076743537140296,-0.0502179941736665,1.0055234491797709,0.868161607816897,1.0026042231634875,45,22,36471074.4,0.0779859470199651,PKI.TO
38,2025-03-19,17.329999923706055,17.90999984741211,17.190000534057617,17.700000762939453,706274.0,-0.1844870441745413,-0.3413684027535574,-1.6206072233190827,-1.7046872360131085,-1.6702662399514083,55,42,18979179.0,0.0775298250445376,GLXY.TO
65,2025-03-19,21.1200008392334,21.700000762939453,21.1200008392334,21.56999969482422,62054.0,0.0671930141640617,-0.0052481414680194,1.718015891283556,1.5395052882716005,1.3314356100329314,38,112,2133510.27,0.0762251248228683,IPCO.TO
41,2025-03-19,1.9900000095367432,1.9900000095367432,1.940000057220459,1.9600000381469729,428989.0,0.0123077734256786,0.0268421043130688,2.1792607561129493,2.332506101927445,2.358105617244187,127,86,1332954.84,0.067848561305179,GGD.TO
9,2025-03-19,174.94000244140625,178.6699981689453,174.67999267578125,177.6999969482422,30165.0,-0.3761224247424581,-0.3756391482245653,-1.3473429016070095,-1.501069943043994,-1.2854996120169455,5,21,10552536.8,0.0615769995664213,CIGI.TO
58,2025-03-19,13.140000343322754,13.300000190734863,13.015000343322754,13.270000457763672,2416624.0,-0.0009571666505713,0.0692932358361724,2.240935900122241,2.0576833161227874,1.5645050589595595,13,61,33176685.29,0.058184323746322,LUN.TO
30,2025-03-19,27.040000915527344,27.739999771118164,27.020000457763672,27.65999984741211,1686097.0,0.0043958111202697,-0.0194661778614933,1.4406604256538629,0.9823761883204356,0.8064867295285056,10,82,54702407.52,0.057209901511495,ARX.TO
84,2025-03-19,74.4800033569336,75.58000183105469,74.4000015258789,75.01000213623047,913170.0,0.1360677556724286,-0.0929925445327185,0.7259881436745318,0.569434602065555,0.481591961091446,15,80,132613929.5,0.0570436448874292,NTR.TO
