,Date,Open,High,Low,Close,Volume,Slope,Slope20,Z_Score,Z_Score2,Z_Score3,#10%Opps,#5%Opps,Ranking,Ticker
97,2025-03-18,24.489999771118164,24.690000534057617,24.280000686645508,24.489999771118164,69267.0,-0.005168166783422,0.0250074974576333,-1.0493316292719697,-1.2873938840777746,-1.3887893335648092,12,18,34.09805298428261,PET.TO
18,2025-03-18,11.68000030517578,11.800000190734863,11.449999809265137,11.75,1292670.0,-0.0311454300903126,0.0310580891774113,-0.009529501519817,-0.2364668941196282,-0.6857002897963431,18,40,10.385129220996006,HBM.TO
91,2025-03-18,27.75,28.0,27.59000015258789,27.799999237060547,13827.0,-0.075015333025371,0.0146842110425906,-0.1159432004150369,-0.2475174159595518,-0.3282107176276174,13,30,9.488683371468388,SCR.TO
73,2025-03-18,5.190000057220459,5.28000020980835,5.130000114440918,5.269999980926514,2391564.0,-0.0101078796739744,0.0136766860359593,0.6622637814226083,0.4077924325925596,-0.0204363200505753,16,37,3.544283026264598,ATH.TO
89,2025-03-18,27.709999084472656,27.709999084472656,27.049999237060547,27.56999969482422,370542.0,-0.074417236404782,0.2311503560919511,0.5852244948853038,0.7406276247841336,0.7642512412695275,33,16,3.2363438864751104,MDA.TO
69,2025-03-18,4.329999923706055,4.349999904632568,4.210000038146973,4.320000171661377,3770319.0,0.0014179442308366,0.0045221891618312,0.7859673509636204,0.2557632416736441,0.0200375004606752,5,44,2.890661625919308,OGC.TO
13,2025-03-18,52.290000915527344,52.650001525878906,52.09000015258789,52.25,2596902.0,0.1439282976591291,0.0004929850872297,1.1791326752216365,1.165176160096736,1.00205423212695,11,10,1.9878794438299856,GWO.TO
77,2025-03-18,50.540000915527344,50.59999847412109,50.119998931884766,50.560001373291016,286613.0,0.1632881781841824,0.0059564690840871,1.0367218939058187,1.0609765756454184,0.9440937622929674,3,23,1.8291181231564837,X.TO
38,2025-03-18,282.7300109863281,282.760009765625,277.4800109863281,279.8699951171875,245383.0,0.6018767616598774,0.2444718898687147,0.8784397459076914,1.1564601408340325,1.0299281454976168,1,20,1.6294351843996322,IFC.TO
65,2025-03-18,40.02999877929688,40.630001068115234,39.540000915527344,40.369998931884766,89184.0,0.0733133785060195,0.0336992507590387,1.052428805404295,0.9934411994842256,0.7577681425425069,8,12,1.6241528871029216,BDGI.TO
52,2025-03-18,10.229999542236328,10.229999542236328,9.864999771118164,9.90999984741211,1723633.0,0.0434082488670732,0.0067067619553185,1.3292225247374745,1.2665537099836817,1.0781606540048123,35,35,1.3888679263971258,EQX.TO
30,2025-03-18,119.31999969482422,119.75,117.44000244140624,117.97000122070312,200720.0,0.1097288356641812,0.2915563024076304,1.103947498227284,1.3621289345207863,1.0217325556273578,16,8,1.2690723137508524,STN.TO
53,2025-03-18,3.1700000762939453,3.200000047683716,3.0999999046325684,3.119999885559082,2913835.0,0.0177821244215095,0.0037218025752476,1.5211220646079864,1.4599931812946247,1.2647191254705614,25,64,1.056202192459725,CXB.TO
2,2025-03-18,29.26000022888184,29.65999984741211,29.15999984741211,29.600000381469727,255236.0,0.0126323750383446,0.1274836002435899,1.2774974862034922,1.1090563203934114,0.9593025198140136,9,21,0.9895996345419164,BLX.TO
14,2025-03-18,22.56999969482422,22.979999542236328,22.32999992370605,22.350000381469727,354251.0,-0.0265584379828587,0.1123834581303417,1.2177663790886444,0.6579096015743692,0.7448895656340278,0,39,0.875618349967863,ELD.TO
20,2025-03-18,24.489999771118164,24.5,23.65999984741211,23.76000022888184,156221.0,0.0514040168790449,0.014548889676431,1.6071049849396737,1.4659874328188458,1.04434727328525,15,50,0.8005734705083634,MAG.TO
71,2025-03-18,24.63999938964844,24.82999992370605,24.459999084472656,24.600000381469727,2375053.0,-0.0121385519873963,0.0596165434758466,1.4705852499142802,1.3117687267280622,0.7674649185601387,8,30,0.7070773516083667,MEG.TO
98,2025-03-18,132.66000366210938,144.99000549316406,132.66000366210938,137.16000366210938,383647.0,-0.0319493076399102,0.0142630899759163,1.704003969215488,0.592653488329948,-1.09598033891004,20,37,0.6465399046154257,TVK.TO
0,2025-03-18,19.5,19.549999237060547,19.280000686645508,19.489999771118164,840742.0,0.0209200846461755,0.0984156486683322,1.4982593330045086,1.2346874648046056,1.0166850752710508,4,32,0.6382100919916827,NPI.TO
26,2025-03-18,24.770000457763672,25.170000076293945,24.770000457763672,25.0,305188.0,0.0914515865977512,0.1561471982109815,1.6532343710629445,1.5037590691316745,1.5990268062690738,21,19,0.5962085278075216,MFI.TO
27,2025-03-18,17.56999969482422,17.59000015258789,17.1200008392334,17.170000076293945,3162060.0,0.0518475978353047,0.0552460132684922,1.5639612666274103,1.4044759430437193,1.052578869809925,6,64,0.5941955899669624,K.TO
85,2025-03-18,13.510000228881836,13.5600004196167,13.510000228881836,13.5600004196167,603712.0,0.1040090665560056,0.2456240546434445,1.6699807499853965,1.6642025477049116,1.6526420812772988,36,16,0.5498969754157398,INE.TO
51,2025-03-18,61.75,62.5,61.310001373291016,61.43999862670898,6894.0,0.0707793227205321,0.1336541713628553,1.596584413712953,1.7832413719901057,1.5261545802108816,0,31,0.520347649211361,CGO.TO
82,2025-03-18,13.0600004196167,13.0600004196167,12.880000114440918,12.979999542236328,116730.0,0.0542243551539719,0.1019763724248212,1.8390687572686109,1.9096284003660409,1.763479712708669,11,42,0.4719910851540839,EXE.TO
