,Date,Open,High,Low,Close,Volume,Slope,Slope20,Z_Score,Z_Score2,Z_Score3,#10%Opps,#5%Opps,Ranking,Ticker
65,2025-03-13,78.5999984741211,79.2900009155273,78.2699966430664,78.379997253418,3366200,-0.111839333972497,0.086550289526918,-1.29218781958911,-1.36315396744846,-1.49325461142608,0,1,43.8206758753997,SLF.TO
0,2025-03-13,83.5599975585938,84.3000030517578,83.1999969482422,83.2699966430664,5402100,0.216203954848961,-0.064420869296655,0.560416594192544,0.582363206944464,0.489093974129459,0,10,0,TD.TO
67,2025-03-13,36.310001373291,36.7799987792969,35.9099998474121,36.25,1091100,-0.057008361816406,-0.1652405330113,-1.96452673151617,-1.95596914167909,-1.49747669872251,0,4,0,OTEX.TO
64,2025-03-13,23.5799999237061,23.8999996185303,23.3400001525879,23.6299991607666,2281900,-0.017602859710903,-0.03569173024113,0.40825651938088,0.262237842143214,-0.499141853612454,7,22,0,MEG.TO
63,2025-03-13,58.7599983215332,59.5999984741211,58.7599983215332,59.5200004577637,725800,0.121207064664408,0.191330830853684,1.86281211134346,1.6580256819298,1.79139546561618,0,1,0,EMA.TO
62,2025-03-13,6.94000005722046,6.94000005722046,6.69500017166138,6.78999996185303,1771100,-0.061363300023919,-0.121285702411393,-1.8912822046623,-1.76544558255597,-1.95428059744997,10,29,0,NXE.TO
61,2025-03-13,118.779998779297,120.629997253418,117.610000610352,118.25,365200,-1.53261769747116,-3.45298475681391,-1.82334588558343,-1.80269369171998,-1.83317176722872,0,0,0,TFII.TO
60,2025-03-13,103.029998779297,106.169998168945,102.870002746582,105.019996643066,688100,0.408852980365077,0.320578937960747,1.82920619235688,1.55545640452699,1.55663008058346,0,23,0,WPM.TO
59,2025-03-13,235.289993286133,235.289993286133,229.050003051758,230.470001220703,115900,-0.352951766346448,-0.599075328855586,-2.86935879719088,-2.17852139548245,-1.91122117996623,0,0,0,FSV.TO
58,2025-03-13,66.9000015258789,67.4400024414063,66.5199966430664,67.3000030517578,6904100,-0.017312210946408,0.098526425469191,0.639931441939321,0.497894162506121,0.389584775292463,0,0,0,TRP.TO
57,2025-03-13,242.850006103516,247.289993286133,242.850006103516,245.399993896484,338900,0.465291235170813,0.031843773404458,0.426186521987652,0.558226177015999,0.74640976434526,0,13,0,TRI.TO
56,2025-03-13,35.0800018310547,35.5999984741211,34.9700012207031,35.1599998474121,4350100,0.019703852745794,0.122127802569167,1.53449337849764,1.4916309850317,2.13245079257408,0,17,0,BCE.TO
55,2025-03-13,2.5,2.67000007629395,2.5,2.63000011444092,719300,0.002149128497813,-0.004015037170926,0.625198080958493,0.114815683843697,-0.332527474318512,22,50,0,NFG.V
54,2025-03-13,12.3999996185303,12.8599996566772,12.25,12.6199998855591,2731200,-0.007416710029009,0.006090228001874,0.822173691625129,0.421301867883548,0.520821041454644,5,23,0,LUN.TO
53,2025-03-13,1325.01000976563,1325.01000976563,1275.19995117188,1296,900,3.39346052358417,1.13525858714168,0.033184181098143,1.29056786977436,1.03510654699089,18,49,0,ELF.TO
52,2025-03-13,48.2599983215332,48.6500015258789,47.939998626709,48.189998626709,2820400,0.103364741316805,0.086022530462509,1.08433848815426,1.03747684391927,1.02069959925915,1,19,0,POW.TO
51,2025-03-13,108.669998168945,111.339996337891,108.669998168945,110.199996948242,173500,-0.29701692045586,-0.189684238290428,-1.59581899068301,-1.71378330276719,-1.54597036944865,0,9,0,WFG.TO
50,2025-03-13,51.8899993896484,52.5499992370605,49.4199981689453,49.4500007629395,343300,-0.002084073208426,-0.545744306521308,-2.95022926227236,-2.02904000334838,-2.06040197079552,0,17,0,BIPC.TO
49,2025-03-13,24.9500007629395,25.3400001525879,24.7700004577637,24.7800006866455,887600,0.008448429904496,0.018473141892512,0.579088207824836,0.605714843297615,0.507142559855206,0,7,0,SAP.TO
48,2025-03-13,106.050003051758,107.139999389648,104.959999084473,105.080001831055,1603700,0.084545384431755,-0.232736779693374,-1.12153281810683,-0.937037312053687,-1.28933230639475,0,17,0,CP.TO
47,2025-03-13,7.76999998092651,8,7.59999990463257,7.82000017166138,3909100,-0.019211524784849,-0.058368422931298,-1.57687592697132,-1.47214670338247,-2.33167714805999,2,16,0,CS.TO
66,2025-03-13,26.1499996185303,26.3099994659424,25.5849990844727,25.7199993133545,441500,-0.035275816753515,-0.102368435106779,-1.81550799884754,-1.44859337907905,-1.67291189516967,0,2,0,PSK.TO
68,2025-03-13,146.070007324219,150.259994506836,145.630004882813,148.229995727539,1149000,0.603246551868715,0.389808517111871,1.65300703874212,1.42607760058511,1.35012940523822,0,40,0,AEM.TO
1,2025-03-13,19.5,20.0699996948242,19.2999992370605,19.3400001525879,1149900,0.014595646205117,0.152966297120976,1.55658842425115,1.84421430638398,1.74216408907004,4,32,0,NPI.TO
69,2025-03-13,50.9199981689453,51.2900009155274,50,50.0499992370605,489000,0.162422860809762,0.03715156038901,1.04132388750743,1.22325274447413,1.15218461907041,3,23,0,X.TO
88,2025-03-13,8.57999992370606,8.64999961853027,8.39000034332275,8.4399995803833,5744200,-0.013982787603805,-0.084803400541607,-2.45205110363191,-2.39514680139307,-2.93476944263598,0,19,0,WCP.TO
87,2025-03-13,229,229,222.009994506836,222.009994506836,400,0.459743922983509,0.15239104077332,0.157971086859389,0.241410070632211,0.831379409633611,8,56,0,CTC.TO
86,2025-03-13,1936.40002441406,1945.40002441406,1922.53002929688,1926.10998535156,54400,1.24141199524474,-4.74828670186208,-1.53715665865701,-1.16526621396843,-0.74305885223762,0,1,0,FFH.TO
